stabb,year,milexp,totalpop,milpers,urbanpop
ARG,1976,571428.0,26458.0,155.0,10451.0
ARG,1977,1020608.0,26862.0,155.0,10856.0
ARG,1978,1491581.0,27266.0,155.0,11262.0
ARG,1979,2641609.0,27675.0,155.0,11667.0
ARG,1980,3060636.0,28094.0,155.0,12072.0
ARG,1981,3573110.0,28525.0,155.0,12266.0
ARG,1982,4147000.0,28966.0,175.0,12460.0
ARG,1983,2337872.0,29412.0,175.0,12655.0
ARG,1984,2282003.0,29859.0,174.0,12849.0
ARG,1985,1889000.0,30305.0,129.0,13043.0
ARG,1986,1150000.0,30748.0,104.0,13318.0
ARG,1987,1220000.0,31192.0,118.0,13593.0
ARG,1988,1240000.0,31636.0,95.0,13869.0
ARG,1989,790800.0,32081.0,95.0,14144.0
ARG,1990,770980.0,32527.0,85.0,14419.0
ARG,1991,2720000.0,32974.0,70.0,14694.0
ARG,1992,2600000.0,33421.0,65.0,14922.0
ARG,1993,2700000.0,33869.0,65.0,15153.0
ARG,1994,3738000.0,34318.0,69.0,15388.0
ARG,1995,3879000.0,34768.0,65.0,15608.0
ARG,1996,4644000.0,35220.0,65.0,15831.0
ARG,1997,4972000.0,35672.0,65.0,16058.0
ARG,1998,5365000.0,36123.0,73.0,16287.0
ARG,1999,5418000.0,36577.0,73.0,16520.0
ARG,2000,4776000.0,37032.0,71.0,16723.0
ARG,2001,4408000.0,37156.0,70.0,16929.0
ARG,2002,1466000.0,37516.0,69.0,17137.0
ARG,2003,1507000.0,37870.0,71.0,17348.0
ARG,2004,1629000.0,38226.0,71.0,17561.0
ARG,2005,1780000.0,38592.0,71.0,17770.0
ARG,2006,1873000.0,38971.0,71.0,17982.0
ARG,2007,2093000.0,39356.0,72.0,18196.0
ARM,1991,147000.0,3612.0,0.0,1325.0
ARM,1992,75000.0,3686.0,20.0,1354.0
ARM,1993,151000.0,3731.0,21.0,1419.0
ARM,1994,0.0,3746.0,45.0,1487.0
ARM,1995,79000.0,3759.0,60.0,1558.0
ARM,1996,125000.0,3764.0,60.0,1633.0
ARM,1997,138000.0,3642.0,60.0,1635.0
ARM,1998,151000.0,3536.0,50.0,1637.0
ARM,1999,159000.0,3525.0,50.0,1545.0
ARM,2000,690000.0,3520.0,41.0,1454.0
ARM,2001,637000.0,3214.0,42.0,1362.0
ARM,2002,700000.0,3212.0,44.0,1361.0
ARM,2003,700000.0,3211.0,45.0,1359.0
ARM,2004,98000.0,3214.0,46.0,1358.0
ARM,2005,125000.0,3218.0,48.0,1358.0
ARM,2006,184000.0,3221.0,48.0,1358.0
ARM,2007,296000.0,3227.0,44.0,1359.0
AUL,1945,1484291.0,7392.0,596.0,3678.0
AUL,1946,1032619.0,7465.0,103.0,3775.0
AUL,1947,397825.0,7579.0,82.0,3915.0
AUL,1948,237440.0,7709.0,61.0,4054.0
AUL,1949,182751.0,7908.0,41.0,4200.0
AUL,1950,169340.0,8179.0,38.0,4343.0
AUL,1951,295232.0,8422.0,33.0,4473.0
AUL,1952,407711.0,8636.0,32.0,4610.0
AUL,1953,417039.0,8815.0,57.0,4755.0
AUL,1954,382379.0,8993.0,54.0,4897.0
AUL,1955,401241.0,9200.0,52.0,5040.0
AUL,1956,414808.0,9426.0,52.0,5205.0
AUL,1957,392374.0,9640.0,48.0,5370.0
AUL,1958,393208.0,9842.0,46.0,5538.0
