hostlev,dispnum,year,month,numab,b_abb,a_abb,b_win,a_win,b_yield,a_yield,stalemate,compromise,released,unclear,joins_war,b_fatal,a_fatal,b_hiact,a_hiact,b_hostlev,a_hostlev,b_maj,a_maj,pa_win,pb_win,pa_yield,pb_yield,pa_fatal,pb_fatal,pa_hiact,pb_hiact,p_dispnum,p_stalemate,p_compromise,p_released,p_unclear,p_joins_war,r_milexp,r_milpers,r_totalpop,r_urbanpop,contig,target,pa_hiact_s,pb_hiact_s
3,2096,1965,4,2,IND,CHN,0,0,0,0,1,0,0,0,0,0.0,0.0,0,12,1,3,0,1,1,0,0,0,750.0,1000.0,7,7,12,12,12,12,12,12,0.130854725775,0.508333333333,0.661733345584,0.418655425854,Land,Diplomatic,ShowForce,ShowForce
4,2912,1965,4,2,TAW,RVN,0,0,0,0,1,0,0,0,0,0.0,0.0,0,15,1,4,0,0,0,0,0,0,0.0,0.0,7,7,1,1,1,1,1,1,0.646288722413,0.927433628319,0.783374689826,1.74600188147,None,Military,ShowForce,ShowForce
4,2916,1965,4,2,USA,PRK,0,0,0,0,1,0,0,0,0,0.0,0.0,1,16,2,4,1,0,0,0,0,0,1228.0,1089.0,17,17,6,6,6,6,6,6,148.077165714,7.03703703704,16.1100240444,59.1862630966,None,Military,Clash,Clash
4,2917,1965,4,2,SPN,ISR,0,0,0,0,0,0,1,0,0,0.0,0.0,0,15,1,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.668308736426,5.69230769231,12.5072181038,12.0932311622,None,Military,None,None
4,1366,1965,5,2,UGA,KEN,0,0,0,0,0,0,1,0,0,0.0,0.0,0,15,1,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1.11427405367,0.375,0.825417991589,0.212996389892,None,Military,None,None
4,3168,1965,5,2,TUR,SYR,0,0,0,0,1,0,0,0,0,13.0,0.0,17,17,4,4,0,0,0,0,0,0,89.0,76.0,17,17,5,5,5,5,5,5,4.42362114076,7.0,5.84957746479,3.05194805195,None,Military,Clash,Clash
4,2066,1965,6,2,SOM,ETH,0,0,0,0,1,0,0,0,0,0.0,0.0,17,17,4,4,0,0,0,0,0,0,63.0,176.0,16,17,3,3,3,3,3,3,0.154116945107,0.2,0.186748314904,0.188251001335,None,Military,Attack,Clash
4,623,1965,7,2,IND,CHN,0,0,0,0,1,0,0,0,0,63.0,63.0,16,14,4,4,0,1,1,0,0,0,750.0,1000.0,7,7,13,13,13,13,13,13,0.130854725775,0.508333333333,0.661733345584,0.418655425854,Land,Military,ShowForce,ShowForce
4,3169,1965,7,2,TUR,IRQ,0,0,0,0,1,0,0,0,0,0.0,0.0,0,16,1,4,0,0,0,0,0,0,13.0,13.0,16,16,3,3,3,3,3,3,1.86343336552,5.44444444444,3.87088355909,1.98061525495,None,Military,Attack,Attack
4,1315,1965,9,2,PAK,IND,0,0,0,0,1,0,0,0,0,63.0,63.0,17,17,4,4,0,0,0,0,0,0,1393.0,1406.0,17,17,20,20,20,20,20,20,0.237511986121,0.227049180328,0.234308747643,0.212139205866,Land,Military,Clash,Clash
