statea,stateb,start,end,conttype
NAM,BOT,1990,2006,Land
ERI,SAU,1993,2006,Water150
KEN,TAZ,1963,2006,Land
SUD,SAU,1956,2006,Water150
USR,EST,1991,2006,Land
GAB,ANG,1975,2006,Water400
SVG,VEN,1979,2006,Water150
VAN,SOL,1981,2006,Water150
BRA,PAR,1876,2006,Land
PAN,COL,1920,2006,Land
MAS,SEY,1976,2006,Water400
BHM,HAI,1973,2006,Water150
IRN,QAT,1971,2006,Water150
MLI,CDI,1960,2006,Land
VEN,BRA,1841,2006,Land
SWZ,AUS,1955,2006,Land
DRC,TAZ,1961,2006,Water24
GFR,SWD,1955,1990,Water150
ANG,ZAM,1975,2006,Land
BUL,RUM,1908,2006,Land
BAR,VEN,1966,2006,Water400
GMY,CZR,1993,2006,Land
SIN,INS,1965,2006,Water12
MZM,MAG,1975,2006,Water400
EGY,SYR,1946,1958,Water400
EGY,SYR,1961,2006,Water400
SVG,AAB,1981,2006,Water400
GMY,SWD,1990,2006,Water150
MAC,BUL,1993,2006,Land
SUD,YAR,1956,1990,Water400
USA,USR,1959,2006,Water12
MAL,PHI,1963,2006,Water24
DMA,SLU,1979,2006,Water150
BFO,TOG,1960,2006,Land
USR,SWD,1944,2006,Water150
FRN,AND,1993,2006,Land
FIJ,TON,1999,2006,Water400
GRN,SVG,1979,2006,Water12
UKG,NOR,1945,2006,Water400
CRO,MTG,2006,2006,Land
IRQ,EGY,1958,1961,Land
MAL,BRU,1984,2006,Land
CYP,LEB,1960,2006,Water150
TAZ,RWA,1962,2006,Land
NTH,DEN,1945,2006,Water150
HON,SAL,1899,2006,Land
ALB,CRO,1992,2006,Water150
CUB,JAM,1962,2006,Water150
FRN,TUN,1956,2006,Water400
LIB,TUR,1951,2006,Water400
PHI,PAL,1994,2006,Water400
DRC,ANG,1975,2006,Land
KYR,KZK,1991,2006,Land
CRO,BOS,1992,2006,Land
BEN,NIG,1960,2006,Land
TAZ,ZAM,1964,2006,Land
SPN,ALG,1962,2006,Water150
HAI,JAM,1962,2006,Water150
SLO,UKR,1993,2006,Land
DRV,INS,1975,2006,Water400
ALB,GRC,1944,2006,Land
IND,NEP,1947,2006,Land
POL,UKR,1991,2006,Land
BEL,LUX,1945,2006,Land
AUS,ITA,1955,2006,Land
DMA,SKN,1983,2006,Water400
SLU,SVG,1979,2006,Water24
LAT,BLR,1991,2006,Land
GRG,TUR,1991,2006,Land
GDR,DEN,1954,1990,Water24
TRI,SLU,1979,2006,Water400
GMY,NOR,1990,2006,Water400
BRU,PHI,1984,2006,Water400
EST,LAT,1991,2006,Land
SEN,GUI,1960,2006,Land
TUR,SYR,1946,1958,Land
TUR,SYR,1961,2006,Land
GDR,CZE,1954,1990,Land
CUB,MEX,1909,2006,Water150
IRE,FRN,1944,2006,Water400
BHM,CUB,1973,2006,Water150
TAW,JPN,1972,2006,Water150
TUR,ISR,1948,2006,Water400
LIE,AUS,1990,2006,Land
TRI,GUY,1966,2006,Water150
EST,SWD,1991,2006,Water150
STP,EQG,1975,2006,Water150
CHN,RVN,1954,1975,Water150
BOS,MTG,2006,2006,Land
TKM,KZK,1991,2006,Land
CDI,BFO,1960,2006,Land
CHA,SUD,1960,2006,Land
BEL,FRN,1945,2006,Land
ZAM,NAM,1990,2006,Land
CAO,CON,1960,2006,Land
GRC,EGY,1944,2006,Water400
FRN,MNC,1993,2006,Land
RUM,USR,1944,1991,Land
ITA,MLT,1964,2006,Water150
INS,FSM,1991,2006,Water400
INS,PNG,1975,2006,Land
MZM,SAF,1975,2006,Land
TUN,LIB,1956,2006,Land
TRI,SVG,1979,2006,Water150
GHA,NIG,1960,2006,Water400
JAM,NIC,1962,2006,Water400
TAJ,UZB,1991,2006,Land
CAO,CHA,1960,2006,Land
USR,ROK,1949,2006,Water400
BRA,URU,1882,2006,Land
SAF,LES,1966,2006,Land
LUX,FRN,1944,2006,Land
HUN,CRO,1992,2006,Land
CYP,SYR,1961,2006,Water150
CEN,DRC,1960,2006,Land
EGY,ISR,1948,2006,Land
HUN,SLO,1993,2006,Land
TOG,NIG,1960,2006,Water400
LAT,SWD,1991,2006,Water150
BAR,DMA,1978,2006,Water400
NIR,CAO,1960,2006,Water150
USR,CHN,1860,2006,Land
AUS,SLO,1993,2006,Land
POL,EST,1991,2006,Water400
GUA,HON,1899,2006,Land
GDR,USR,1954,1990,Water400
CHN,JPN,1952,2006,Water400
DJI,ETH,1977,2006,Land
DJI,YAR,1977,1990,Water24
GRC,CYP,1960,2006,Water400
BEN,BFO,1960,2006,Land
IRQ,SAU,1932,2006,Land
IRQ,SYR,1961,2006,Land
IRQ,SYR,1946,1958,Land
EGY,LEB,1946,1958,Water400
EGY,LEB,1961,2006,Water400
EGY,LEB,1958,1961,Land
HAI,COL,1934,2006,Water400
DRC,BUI,1962,2006,Land
TAZ,COM,1975,2006,Water400
MLI,GUI,1960,2006,Land
KEN,SOM,1963,2006,Land
USR,DEN,1945,2006,Water400
TAZ,MZM,1975,2006,Land
MLI,ALG,1962,2006,Land
USR,IRN,1855,1991,Land
FIN,SWD,1917,2006,Land
POL,USR,1945,2006,Land
SLU,AAB,1981,2006,Water400
NTH,GMY,1990,2006,Land
DMA,GRN,1978,2006,Water400
IND,BHU,1971,2006,Land
NTH,NOR,1945,2006,Water400
IND,PAK,1947,2006,Land
SOM,DJI,1977,2006,Land
EGY,JOR,1946,1958,Water12
EGY,JOR,1961,1967,Water12
EGY,JOR,1982,2006,Water12
EGY,JOR,1958,1961,Land
